REG ANS;DATA;IED;Fatur;EVA;EBITDATRAD;RSV;ROA;ROE;MEBITDA;PMRE;PMPE;Ciclo;Imob;PCT;CE;LC;LG;ISTR;IDC;IDA;TAM;HHI;CR4;CR8;CR12;CRn;Benefassist;Benefexcl;Beneftot;TKM;CMg;Lerner;Reclam;Ireclam;Segmentacao;Modalidade;Estado;FEA
5711;01/10/2007;0;5332777379;-1190306918;-438848042;-0,04;0;0,01;0,04;40,1;0;40,1;0,04;2,07;0,38;3,34;1,43;1,19;0,05;0,09;22,47;0,22;0,83;0,12;0,05;0;2089231;664101;2753332;161,4;192,09;;159;0,58;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;RJ;0
6246;01/10/2007;1;2837759029;-85283267,48;442459038,1;0,94;0,17;0,29;0,35;17,32;0;17,32;0,46;0,66;0,52;1,25;1,36;0,76;0;0,06;21,39;0,22;0,83;0,12;0,05;0;366929;0;366929;630,81;482,11;0,24;165;4,5;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;RJ;1
6980;01/10/2007;0;375076720,6;4645015,34;16482401,44;0,31;0,18;0,37;0,1;9,38;0;9,38;0,26;1,1;0,96;1,44;1,41;0,79;0,03;0,09;18,15;0,22;0,83;0,12;0,05;0;49727;0;49727;628,56;497,87;0,21;8;1,61;MÉDICO-HOSPITALAR;Seguradora Especializada em Saúde;SP;1
300012;01/10/2007;0;8144005,25;-82923,98;16083,18;0,05;0,05;0,11;0,03;36,15;31,86;4,29;0,07;1,31;1;1,55;1,64;0,71;0,03;0,26;13,98;0,05;0,37;0,16;0,09;0,39;6432;0;6432;101,77;71,9;0,29;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
300080;01/10/2007;0;3539457,22;187734,43;-99975,25;-0,16;-0,19;0,08;-0,05;29,4;51,42;-22,03;0,79;;0,31;0,2;0,06;0,43;0;0,5;13,72;0,05;0,37;0,16;0,09;0,39;17393;0;17393;16,96;7,31;0,57;5;2,87;MÉDICO-HOSPITALAR;Medicina de Grupo;CE;0
300136;01/10/2007;0;25752603,8;-667238,89;118810,55;0,02;0,01;0,04;0,04;7,85;14,3;-6,45;0,23;2,11;0,5;1,95;1,14;0,64;0,01;0,25;16,12;0,02;0,22;0,12;0,07;0,59;12537;0;12537;167,14;106,6;0,36;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RS;0
300195;01/10/2007;0;9152055,76;-77107,13;120053,48;-0,01;-0,01;-0,05;0,03;44,04;29,07;14,96;0,54;2,34;0,65;0,97;0,65;0,49;0,1;0,35;14,41;0,03;0,25;0,16;0,12;0,47;0;28858;28858;26,43;12,95;0,51;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;RJ;0
300365;01/10/2007;0;1068858,25;77862,36;164989,21;0,18;0,46;1,53;0,3;8,16;3,46;4,7;0,86;2,33;0,9;0,22;0,2;0,2;0;0,55;12,06;0,13;0,56;0,09;0,07;0,27;0;763;763;108,34;21,17;0,8;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
300497;01/10/2007;0;208441352;-989265197,9;-904280603,6;0,17;0;0,01;0,07;53,62;6,43;47,2;0;20,85;1;1,03;1,05;0,89;0;0,26;22,77;0,08;0,41;0,14;0,1;0,36;67664;0;67664;256,71;228,84;0,11;1;0,15;MÉDICO-HOSPITALAR;Autogestão;MG;0
300713;01/10/2007;0;33321209,17;-1081635,79;-195301,23;0,12;0,05;0,12;0,05;31,58;40,73;-9,15;0,08;1,51;0,82;1,77;1,52;0,79;0,01;0,24;15,97;0,02;0,22;0,12;0,07;0,59;13984;0;13984;195,84;155,68;0,21;1;0,72;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
300730;01/10/2007;0;2954651,41;198875,04;230533,24;0,2;0,54;-5,47;0,16;0,14;0;0,14;0,32;;0,99;0,62;0,62;0,29;0;0,54;12,85;0,13;0,56;0,09;0,07;0,27;0;14334;14334;15,63;4,53;0,71;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;PB;0
300748;01/10/2007;0;18926025,19;-8123423,62;3493085,27;0,41;0,03;0,07;0,44;1,09;32;-30,9;0,63;1,25;0,61;0,86;0,68;0,64;0,02;3,41;17,72;0,14;0,55;0,09;0,07;0,29;10184;0;10184;154,87;99,5;0,36;1;0,98;MÉDICO-HOSPITALAR;Filantropia;SP;0
300764;01/10/2007;0;4785204,79;-335305,51;1159009,5;0,68;0,48;0,78;0,48;0;35,48;-35,48;0,08;0,64;0,99;2,34;2,37;0,52;0,01;0,43;14,35;0,13;0,56;0,09;0,07;0,27;0;24498;24498;15,64;8,15;0,48;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;PR;0
300870;01/10/2007;0;0;-3214799,36;5401627,81;0;0,13;0,16;0;0;0;0;0,41;0,25;0,71;2,89;2,99;0;0;0;17,77;0,02;0,22;0,12;0,07;0,59;;;;;;;1;;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
300926;01/10/2007;0;18972473,19;-2888904,75;-3062056,8;-1,23;-1,19;0,43;-0,28;8,58;108,83;-100,25;0,46;;0,85;0,05;0,14;0,68;0,03;0,6;15,04;0,05;0,37;0,16;0,09;0,39;35536;0;35536;44,49;30,39;0,32;15;4,22;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
300951;01/10/2007;0;1218114,07;97180,63;164390,48;0,25;0,55;1,12;0,27;0,97;29,73;-28,76;0,22;1,03;1;1,51;1,54;0,32;0,01;0,41;12,17;0,13;0,56;0,09;0,07;0,27;0;6096;6096;15,89;5,13;0,68;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
301043;01/10/2007;0;5176257,43;-1245071,99;1231368,87;0,01;0;0;0,45;19,68;40,14;-20,46;0,23;0,99;0,49;1,32;1,54;0,69;0;0,75;17,08;0,05;0,37;0,16;0,09;0,39;2826;0;2826;149,97;104,15;0,31;2;7,08;MÉDICO-HOSPITALAR;Medicina de Grupo;RJ;0
301060;01/10/2007;0;22654336,33;472693,32;1048336,66;2,12;0,17;0,35;0,12;5,64;17,27;-11,63;0,19;1,08;0,4;3,76;1,56;0,96;0;0,22;15,75;0,02;0,22;0,12;0,07;0,59;22637;0;22637;83,4;79,68;0,04;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
301124;01/10/2007;0;11700678,13;19278,59;433029,94;0,14;0,07;0,12;0,07;28,17;27,12;1,05;0,46;0,72;1;1,21;1,3;0,75;0;0,38;15,05;0,02;0,22;0,12;0,07;0,59;4899;0;4899;199,03;148,63;0,25;1;2,04;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;TO;0
301213;01/10/2007;0;341696,8;10612,39;43761,09;0,04;0,05;0,15;0,25;16,99;0;16,99;0,29;2,31;0,44;2,29;1,01;0,15;0;0,7;11,75;0,13;0,56;0,09;0,07;0,27;0;1386;1386;19,28;2,95;0,85;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
301311;01/10/2007;0;125672960;-4383226,95;-1680248,64;0,08;-0,13;3,28;-0,02;51,82;45,21;6,61;0,39;;0,83;0,63;0,58;1,66;0,01;0,15;17,09;0,02;0,22;0,12;0,07;0,59;48153;0;48153;217,49;360,76;;23;4,78;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;BA;0
301337;01/10/2007;0;2194967543;13913710,14;54387266,9;0,12;0,16;6,41;0,06;28,87;54,94;-26,07;0,14;38,24;0,95;0,81;0,88;0,69;0,06;0,16;19,44;0,02;0,22;0,12;0,07;0,59;639516;0;639516;281,25;194,67;0,31;177;2,77;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
301396;01/10/2007;0;1676403,03;-2659257,81;1518824,08;0,05;0;0;1,81;56,47;228,62;-172,14;0,73;0,45;0,78;1,11;0,87;0,74;0,02;11,78;16,87;0,05;0,37;0,16;0,09;0,39;1054;0;1054;132,54;97,6;0,26;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;MS;0
301574;01/10/2007;0;97111633,32;-2010737,89;1742199,12;0,21;0,05;0,08;0,06;10,12;15,26;-5,14;0,62;0,69;0,88;1;0,94;0,85;0;0,19;17,34;0,02;0,22;0,12;0,07;0,59;34132;0;34132;236,72;202,1;0,15;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
301591;01/10/2007;0;5465359,54;-58574,19;138129,27;0,02;0,04;0,07;0,07;16,93;25,71;-8,77;0,23;0,85;1;1,66;1,68;0,24;0,11;0,76;13,99;0,13;0,56;0,09;0,07;0,27;0;19710;19710;21,22;5,04;0,76;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;1
301647;01/10/2007;0;1194344,8;-54340,49;6631,74;-0,01;0;-0,01;0,02;23,07;53,27;-30,2;0,76;0,56;1;0,66;0,66;0,66;0,06;0,35;13,42;0,03;0,25;0,16;0,12;0,47;0;11495;11495;8,66;5,68;0,34;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;SP;0
301728;01/10/2007;0;11441280,03;162320,08;928198,59;0,21;0,14;0,29;0,2;11,83;41,11;-29,27;0,26;1,05;0,68;1,84;1,45;0,59;0,02;0,23;15,12;0,05;0,37;0,16;0,09;0,39;20105;1986;22091;42,24;25,06;0,41;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;MG;0
301744;01/10/2007;0;20837596,07;-146782,84;937109,79;0,66;0,04;0,09;0,13;33,55;39,05;-5,5;0,18;1,11;0,47;3,04;1,56;0,96;0,01;0,23;15,89;0,02;0,22;0,12;0,07;0,59;15041;0;15041;112,47;107,46;0,04;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SC;0
301850;01/10/2007;0;254101,65;8896,35;17850,6;0,12;0,12;0,37;0,14;0;0;0;0,03;1,99;1;1,46;1,46;0,21;0;0,66;11,55;0,13;0,56;0,09;0,07;0,27;0;627;627;31,77;6,52;0,79;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
301906;01/10/2007;0;1613481,64;-94838,69;-27997,3;-0,09;-0,06;-0,1;-0,02;12,52;96,58;-84,05;0,61;0,78;0,92;0,88;0,89;0,6;0;0,37;13,26;0,05;0,37;0,16;0,09;0,39;1401;0;1401;95,97;58,06;0,4;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;MG;0
301949;01/10/2007;0;463733583,5;-2290319,72;61454503,36;0,22;0,12;0,16;0,3;17,91;37,96;-20,04;0,51;0,25;0,97;2,29;2,45;0,36;0,12;0,26;19,47;0,13;0,56;0,09;0,07;0,27;0;1641693;1641693;22,73;8,13;0,64;12;0,07;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;1
302091;01/10/2007;0;50873770,9;-1807985,1;-1397695,36;-0,18;-0,16;-6,5;-0,03;20,41;53,02;-32,61;0,06;39,52;0,97;1;0,97;0,71;0,08;0,23;15,95;0,05;0,37;0,16;0,09;0,39;40876;0;40876;99,96;71,14;0,29;2;0,49;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;1
302147;01/10/2007;0;299048019,8;-677786,94;-2664044,63;-0,08;-0,06;-3,92;0;4,85;50,43;-45,57;0,34;67,06;0,65;1,03;0,67;0,8;0,07;0,11;17,61;0,05;0,37;0,16;0,09;0,39;71989;0;71989;346,17;276,04;0,2;25;3,47;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
302228;01/10/2007;0;2718753,06;145384,97;207705,67;0,2;0,34;0,56;0,16;7,11;35,75;-28,64;0,13;0,64;0,72;3,12;2,24;0,24;0;0,19;13,4;0,02;0,22;0,12;0,07;0,59;2154;0;2154;105,18;24,83;0,76;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;GO;0
302490;01/10/2007;0;7159275,18;287879,67;550222,6;0,18;0,35;1,31;0,15;11,18;15,73;-4,55;0,49;2,73;0,99;0,7;0,7;0,5;0,01;0,49;13,78;0,05;0,37;0,16;0,09;0,39;9331;3176;12507;45,98;23,18;0,5;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;RS;0
302627;01/10/2007;0;11965274,9;174926,02;1021738,95;0,78;0,2;0,22;0,25;0;0;0;0,15;0,1;1;9,42;9,42;0,73;0;0,13;15,74;0,08;0,41;0,14;0,1;0,36;1808;0;1808;551,5;401,12;0,27;0;0;MÉDICO-HOSPITALAR;Autogestão;PE;0
302694;01/10/2007;0;12733689,88;289877,36;296153,56;-0,03;-0,04;0,02;0,04;28,61;15,49;13,12;0,1;;0,32;1,01;0,33;0,74;0;0,22;14,18;0,05;0,37;0,16;0,09;0,39;11977;0;11977;88,6;65,42;0,26;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;RJ;0
302872;01/10/2007;0;2438899474;-54413262,82;-20397546,98;0,04;0,02;0,03;0,02;8,53;33,33;-24,8;0,58;0,53;0,82;1,3;1,2;0,76;0,05;0,13;20,52;0,05;0,37;0,16;0,09;0,39;1165387;59569;1224956;163,86;124;0,24;197;1,61;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;1
302881;01/10/2007;0;9427412,07;-2233894,86;-178851,38;-1,31;-0,07;-0,13;0,04;20,33;33,17;-12,85;0,77;0,92;0,57;0,58;0,48;0,83;0;1,44;16,63;0,14;0,55;0,09;0,07;0,29;6654;0;6654;118,07;98,36;0,17;0;0;MÉDICO-HOSPITALAR;Filantropia;MG;1
302953;01/10/2007;0;132681873,7;-7766,57;2393724,88;0,04;0,04;0,2;0,04;29,81;41,78;-11,97;0,44;3,85;0,81;0,84;0,71;0,65;0,01;0,34;16,99;0,02;0,22;0,12;0,07;0,59;50229;0;50229;220,13;143,79;0,35;3;0,6;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RJ;0
303178;01/10/2007;0;25371471,15;-438333,93;344790,05;0;0;0;0,04;32,72;23,11;9,61;0,29;0,94;0,9;1;1,47;0,7;0;0,29;15,48;0,02;0,22;0,12;0,07;0,59;9971;0;9971;212,04;148,71;0,3;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;CE;0
303259;01/10/2007;0;2681764,34;20744,93;52464,07;0,11;0,06;0,44;0,06;99,09;180,89;-81,79;0,02;6,52;0,66;1,72;1,13;0,59;0,03;0,35;13,99;0,03;0,25;0,16;0,12;0,47;0;13392;13392;16,69;9,82;0,41;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;SP;0
303267;01/10/2007;0;177139084,5;-1419532,24;110290,37;0,01;0,01;0,05;0,02;23,71;19,61;4,1;0,51;7,03;0,65;0,81;0,56;0,84;0,01;0,15;17,3;0,02;0,22;0,12;0,07;0,59;96976;0;96976;152,22;127,56;0,16;2;0,21;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
303291;01/10/2007;0;1359014,46;24045,1;43065,98;0,11;0,22;0,4;0,07;46,64;0;46,64;0,08;0,79;1;2,07;2,07;0,5;0,04;0,35;12,16;0,03;0,25;0,16;0,12;0,47;0;4513;4513;25,09;12,62;0,5;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;RN;0
303356;01/10/2007;0;129365922,7;-565814,3;2132278,68;0,03;0,02;0,06;0,06;38,21;37,07;1,14;0,49;2,83;0,44;1,4;0,69;0,72;0,02;0,17;17,49;0,02;0,22;0,12;0,07;0,59;45517;0;45517;234,82;169,49;0,28;6;1,32;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SC;0
303364;01/10/2007;0;71765191,92;750146,41;-904764,89;-0,21;-0,17;0,09;-0,02;32,53;42,65;-10,11;0,18;;0,9;0,26;0,28;0,71;0,01;0,29;16,49;0,05;0,37;0,16;0,09;0,39;62120;0;62120;96,27;68,02;0,29;31;4,99;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
303585;01/10/2007;0;12601807,55;-668393,01;555635,64;0,32;0,15;0,33;0,15;21,13;36,06;-14,93;0,13;1,14;0,48;3,06;1,63;0,63;0;0,27;15,47;0,02;0,22;0,12;0,07;0,59;10216;0;10216;102,79;65,16;0,37;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
303623;01/10/2007;0;21772498,93;-6454949,52;3298825,83;0,21;0,03;0,04;0,34;;;;0,78;0,44;0,77;0,93;0,73;0;0,26;1,03;18,2;0,05;0,37;0,16;0,09;0,39;40227;0;40227;45,1;0;1;22;5,47;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
303739;01/10/2007;0;113643027,8;-874767,86;516540,97;0,05;0,02;0,06;0,02;21,78;32,67;-10,89;0,48;1,38;0,9;0,9;0,89;0,86;0;0,14;16,7;0,05;0,37;0,16;0,09;0,39;72712;0;72712;126,98;109,44;0,14;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
303844;01/10/2007;0;34709820,96;487965,39;1006147,22;0,19;0,2;0,41;0,08;24,31;26,53;-2,21;0,19;1,06;0,72;2,17;1,56;0,66;0,01;0,15;15,63;0,02;0,22;0,12;0,07;0,59;8499;0;8499;340,33;223,39;0,34;3;3,53;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
303976;01/10/2007;0;604706979,4;2532466,71;6961899,03;0,11;0,07;0,55;0,03;20,94;35,4;-14,46;0,28;7,07;0,95;0,84;0,83;0,85;0,01;0,12;18,18;0,02;0,22;0,12;0,07;0,59;223852;0;223852;225,11;190,63;0,15;59;2,64;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PA;0
304034;01/10/2007;0;3272288,14;28227,13;87519,21;0,05;0,12;0,21;0,05;47,97;2,89;45,08;0,26;0,7;1;1,79;1,8;0,37;0;0,59;12,99;0,13;0,56;0,09;0,07;0,27;0;19641;19641;13,88;5,09;0,63;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;SP;0
304051;01/10/2007;0;12637196,47;-235461,57;348494,98;0;0;0;0,05;70,34;64,76;5,58;0,27;2,55;0,36;1,29;1,02;0,74;0,01;0,47;15,95;0,02;0,22;0,12;0,07;0,59;22337;0;22337;47,15;34,7;0,26;2;0,9;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
304107;01/10/2007;0;16243307,31;-290219,85;-112345,87;-0,2;-0,06;-21,62;-0,01;36,89;43,64;-6,75;0,36;338,82;0,57;0,76;0,65;0,83;0;0,17;15,37;0,05;0,37;0,16;0,09;0,39;9364;0;9364;143,39;118,94;0,17;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
304123;01/10/2007;0;23713801,08;433494,18;1338950,07;0,2;0,08;0,83;0,12;14;20,12;-6,12;0,79;9,37;0,67;0,33;0,23;0,71;0;0,3;16,07;0,02;0,22;0,12;0,07;0,59;8604;0;8604;229,68;162,76;0,29;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
304131;01/10/2007;0;9924511,26;334304,59;956343,18;0,73;0,24;0,26;0,26;1,6;0;1,6;0,08;0,06;1;16,29;16,65;0,66;0;0,16;15,52;0,08;0,41;0,14;0,1;0,36;3450;0;3450;239,72;159,39;0,34;0;0;MÉDICO-HOSPITALAR;Autogestão;SP;0
304158;01/10/2007;0;38309693,52;-1018635;266406,46;-0,09;-0,07;-0,16;0,02;41,01;19,58;21,43;0,55;1,48;0,68;0,96;0,76;0,64;0;0,27;16,15;0,02;0,22;0,12;0,07;0,59;8824;0;8824;361,79;231,35;0,36;1;1,13;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;RR;0
304212;01/10/2007;0;6689942,75;502273,57;1047813,96;0,18;0,22;0,32;0,29;14,82;0;14,82;0,29;0,48;0,75;2,92;2,2;0;0;0,71;14,95;0,05;0,37;0,16;0,09;0,39;9335;823;10158;54,88;0,1;1;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;RS;0
304344;01/10/2007;0;23291393,34;-418565,39;-131607,44;0;0;0;0,02;9,89;11,26;-1,37;0,16;6,87;0,55;1,37;0,96;0,82;0,01;0,18;15,28;0,02;0,22;0,12;0,07;0,59;13408;0;13408;144,76;119,11;0,18;1;0,75;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
304395;01/10/2007;0;36272265,57;239762,94;1141397,58;0,13;0,07;0,17;0,07;9,34;14,45;-5,11;0,8;1,54;0,6;0,48;0,33;0,8;0;0,15;15,86;0,02;0,22;0,12;0,07;0,59;16567;1194;17761;167,55;133,48;0,2;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MG;0
304441;01/10/2007;0;6202781,2;82373,24;226790,4;0,07;0,15;0,42;0,08;25,26;14,67;10,59;0,48;1,79;1;0,81;0,81;0,39;0,02;0,44;13,7;0,13;0,56;0,09;0,07;0,27;0;17529;17529;27,73;10,86;0,61;0;0;MÉDICO-HOSPITALAR;Odontologia de Grupo;PE;0
304468;01/10/2007;0;15499585,47;587579,74;1060522,78;0,33;0,26;0,49;0,14;10,1;22,4;-12,3;0,31;0,86;0,64;2,35;1,5;0,64;0;0,2;15,16;0,02;0,22;0,12;0,07;0,59;5107;0;5107;252,91;163,06;0,36;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MT;0
304476;01/10/2007;0;7535292,79;-56761,35;535202,13;0,18;0,04;0,11;0,16;32,22;0;32,22;0,38;1,77;1;0,97;0,97;0,75;0;0,65;15,4;0,02;0,22;0,12;0,07;0,59;3929;7;3936;159,54;119,25;0,25;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;MT;0
304484;01/10/2007;0;29630064,15;-306922,51;841808,35;0;0;0,01;0,07;101,36;72,23;29,14;0,25;2,85;0,87;1,15;1,01;0,59;0,09;0,33;16,07;0,03;0,25;0,16;0,12;0,47;0;160515;160515;15,38;9,1;0,41;0;0;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa odontológica;PR;0
304531;01/10/2007;0;11002012,51;190752,24;1437357,07;-0,11;-0,05;-0,5;0,24;64,05;7,54;56,52;0,52;8,26;0,46;1,08;0,54;0,62;0;0,5;15,36;0,05;0,37;0,16;0,09;0,39;26597;0;26597;34,47;21,53;0,38;0;0;MÉDICO-HOSPITALAR;Medicina de Grupo;MG;0
304590;01/10/2007;0;15110748,86;-4656771,24;-1904423,01;-0,26;0;0;0,06;17,12;35,43;-18,3;0;0,04;1;25,62;25,62;1,03;0;0,12;16,98;0,08;0,41;0,14;0,1;0,36;7292;0;7292;172,69;177,95;;0;0;MÉDICO-HOSPITALAR;Autogestão;GO;1
304638;01/10/2007;0;57881755,86;-7076860,22;-6575493,89;-1,2;-2,22;1,36;-0,2;4,11;0;4,11;0,84;;0,88;0,05;0,06;0,79;0,04;0,19;15,09;0,05;0,37;0,16;0,09;0,39;19454;0;19454;243,83;192,37;0,21;11;5,65;MÉDICO-HOSPITALAR;Medicina de Grupo;SP;0
304701;01/10/2007;0;1067994424;-17090888,47;3049004,51;0,06;0,02;0,15;0,03;27,1;32,79;-5,69;0,04;5,28;0,33;1,84;1,14;0,78;0,02;0,15;19,54;0,02;0,22;0,12;0,07;0,59;388699;0;388699;223,08;175,08;0,22;62;1,6;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;PR;0
304859;01/10/2007;0;0;14018,56;55286,81;0;0,14;0,16;0;0;0;0;0,53;0,12;0,83;5,24;4,36;0;0;0;12,55;0,05;0,37;0,16;0,09;0,39;;;;;;;0;;MÉDICO-HOSPITALAR;Medicina de Grupo;PR;0
304883;01/10/2007;0;44119914,14;460239,97;1155339,71;0,19;0,11;0,23;0,08;24,16;39,02;-14,86;0,27;1,06;0,91;1,35;1,48;0,75;0;0,21;16,18;0,02;0,22;0,12;0,07;0,59;20736;0;20736;177,31;132,49;0,25;1;0,48;EXCLUSIVAMENTE ODONTOLÓGICA;Cooperativa Médica;SP;0
